Ind Xmid  Ymid      Did    Ht     Ang
0 23.92  427.38   11.37  6.67  -78.69
1 44.53  425.71   28.00  6.08  -8.13
2 13.88  407.45   26.24  9.22  -85.24
3 36.87  388.06   71.09  10.17  -10.08
4 30.11  364.07   25.74  4.98  -10.62
5 119.94  351.70   11.66  4.27  -29.05
6 276.00  306.50   10.77  5.76  -21.80
7  309.88  305.19   50.82  9.93  -80.73
8  305.13  285.51   63.40  21.15  -86.25
9  395.44  263.86   75.33  2.55  -5.36
10  60.00  211.50   12.00  11.00  -0.00
11  15.49  201.96   28.89  5.28  -10.30
12  40.00  201.50   18.00  13.00  -0.00
13  108.66  195.05   33.34  4.90  -5.91
14  40.00  191.50   18.00  7.00  -0.00
15  40.30  182.47   18.01  8.16  -5.71
16  158.12  180.04   42.18  4.75  -6.34
17  13.50  186.50   25.00  19.00  -90.00
18  34.03  175.14   27.23  6.28  -19.18
19  153.10  170.49   44.28  4.98  -5.71
20  320.14  142.25   48.14  4.05  -6.58
21  504.54  82.69   7.84  6.28  -11.31
22  567.18  6.99   16.27  7.14  -20.56
23  388.00  12.50   44.00  23.00  -0.00

